学号，姓名，班级，考试名称，考试日期，成绩，满分，排名，年级，学期
2024001，郑茗心，三年一班，2024 春期中考试，2024-04-15,95,100,3，三年级，2024 春季
2024001，郑茗心，三年一班，2024 春期末考试，2024-06-28,98,100,1，三年级，2024 春季
2024001，郑茗心，三年一班，2024 秋期中考试，2024-10-15,92,100,5，三年级，2024 秋季
2024001，郑茗心，三年一班，2024 秋期末考试，2024-12-20,96,100,2，三年级，2024 秋季
2024001，郑茗心，三年一班，2025 春期中考试，2025-04-15,97,100,2，四年级，2025 春季
2024001，郑茗心，三年一班，2025 春期末考试，2025-06-28,99,100,1，四年级，2025 春季
2024002，张小明，三年一班，2024 春期中考试，2024-04-15,88,100,12，三年级，2024 春季
2024002，张小明，三年一班，2024 春期末考试，2024-06-28,90,100,10，三年级，2024 春季
2024002，张小明，三年一班，2024 秋期中考试，2024-10-15,85,100,15，三年级，2024 秋季
2024002，张小明，三年一班，2024 秋期末考试，2024-12-20,87,100,14，三年级，2024 秋季
2024003，李小红，三年一班，2024 春期中考试，2024-04-15,92,100,5，三年级，2024 春季
2024003，李小红，三年一班，2024 春期末考试，2024-06-28,94,100,4，三年级，2024 春季
2024003，李小红，三年一班，2024 秋期中考试，2024-10-15,96,100,2，三年级，2024 秋季
2024003，李小红，三年一班，2024 秋期末考试，2024-12-20,98,100,1，三年级，2024 秋季
2024004，王小刚，三年一班，2024 春期中考试，2024-04-15,78,100,25，三年级，2024 春季
2024004，王小刚，三年一班，2024 春期末考试，2024-06-28,82,100,20，三年级，2024 春季
2024004，王小刚，三年一班，2024 秋期中考试，2024-10-15,80,100,22，三年级，2024 秋季
2024004，王小刚，三年一班，2024 秋期末考试，2024-12-20,85,100,18，三年级，2024 秋季
2024005，刘小美，三年一班，2024 春期中考试，2024-04-15,90,100,8，三年级，2024 春季
2024005，刘小美，三年一班，2024 春期末考试，2024-06-28,91,100,7，三年级，2024 春季
2024005，刘小美，三年一班，2024 秋期中考试，2024-10-15,93,100,6，三年级，2024 秋季
2024005，刘小美，三年一班，2024 秋期末考试，2024-12-20,95,100,3，三年级，2024 秋季
